"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="0050","元大台灣50","01/08","70.1","+0.25","+0.36","半年","3.286","2.4","2.9","3","3.6","3.4","5","4.5","4","3.06","1"
="006203","元大MSCI台灣","01/08","126.6","+0.7","+0.56","半年","1.773","1","1.15","1.25","1.68","1.34","2.23","2.13","2.7","2.45","1.8"
="006208","富邦台50","01/08","159.55","+0.55","+0.35","半年","2.365","2.65","2.65","1.799","1.62","1.955","2.278","2.213","1.683","4.437",""
="00692","富邦公司治理","01/08","61.1","+0.3","+0.49","半年","1.365","1.141","0.826","0.786","0.839","1.97","2.033","1.794","1.015","1.88",""
="00701","國泰股利精選30","01/08","29.29","+0.01","+0.03","半年","1.298","","0.17","0.47","1.66","0.98","1.9","0.86","1.09","3.85","0.7"
="00702","國泰標普低波高息","01/08","23.3","-0.06","-0.26","半年","0.698","","0.55","0.73","0.44","0.46","0.58","0.59","0.96","1.32","0.65"
="00733","富邦臺灣中小","01/08","48.26","-0.3","-0.62","半年","1.936","","","0.96","0.358","2.09","1.222","1.314","6.474","1.136",""
="00735","國泰臺韓科技","01/08","58.25","+0.45","+0.78","半年","1.296","","","0.68","0.38","1.24","1.3","1.52","3.83","0.42","1"
="00736","國泰新興市場","01/08","28.87","-0.09","-0.31","半年","0.351","","","0.38","0.25","0.4","0.46","0.32","0.23","0.47","0.3"
="00858","永豐美國500大","01/08","34.31","+0.05","+0.15","半年","1.735","","","","0.082","0.345","1.248","2.573","3.2","3.3","1.4"
="00881","國泰台灣科技龍頭","01/08","34.45","-0.18","-0.52","半年","1.317","","","","","0.54","0.85","0.81","1.75","1.3","2.65"
="00882","中信中國高股息","01/08","15.42","-0.03","-0.19","半年","0.797","","","","","0.68","1.21","0.7","0.66","1.08","0.45"
="00892","富邦台灣半導體","01/08","23.1","-0.12","-0.52","半年","0.495","","","","","0.58","0.569","0.479","0.385","0.464",""
="00911","兆豐洲際半導體","01/08","35.62","-0.24","-0.67","半年","0.975","","","","","","","0","2.2","0.7","1"
="00913","兆豐台灣晶圓製造","01/08","26.84","-0.33","-1.21","半年","1.107","","","","","","","0.8","1.12","1.4",""
="00922","國泰台灣領袖50","01/08","27.25","-0.02","-0.07","半年","1.277","","","","","","","0.57","1.38","1.88",""
="00923","群益台ESG低碳50","01/08","27.3","-0.08","-0.29","半年","1.136","","","","","","","0.561","1.153","1.693",""
="00928","中信上櫃ESG30","01/08","20.08","-0.25","-1.23","半年","0.917","","","","","","","","1.71","0.54","0.5"
="00935","野村臺灣新科技50","01/08","31.91","-0.21","-0.65","半年","0.975","","","","","","","","0.6","1.35",""
="009804","聯邦台精彩50","01/08","15.27","-0.06","-0.39","半年","0.38","","","","","","","","","0.38",""
"01004T","土銀富邦R2","01/08","10.81","0","0","半年","0.391","0.381","0.383","0.364","0.389","0.399","0.394","0.401","0.395","0.412",""
"01007T","兆豐國泰R2","01/08","13.5","+0.12","+0.9","半年","0.446","0.435","0.434","0.426","0.426","0.446","0.47","0.482","0.453","0.444",""
"01009T","王道圓滿R1","01/08","6.77","+0.06","+0.89","半年","0.293","","","0.299","0.302","0.292","0.292","0.307","0.277","0.284",""
"01010T","京城樂富R1","01/08","10.03","0","0","半年","0.358","","","0.113","0.404","0.405","0.312","0.423","0.381","0.465",""
="1108","幸福","01/08","14.9","0","0","半年","0.46","0.6","0","0","0.15","0.7","0.6","0.8","1","0.75","0"
="1219","福壽","01/08","13.35","+0.05","+0.38","半年","0.522","0.3","0.3","0.1","0.4","1","1.1","0.5","0.5","0.5",""
="1315","達新","01/08","64.1","+0.2","+0.31","半年","4.172","1.1","1.1","1.2","7.65","6","5","6","5","4.5",""
="1316","上曜","01/08","14.85","+0.15","+1.02","半年","0.47","0","2.263","1.885","0","0","0","0.549","0","0","0"
="1470","大統新創","01/08","22.75","0","0","半年","0.551","0.55","0.5","0.4","0.8","0.42","0.8","0.45","0.58","1.01","0"
="1477","聚陽","01/08","309.5","+12","+4.03","半年","10.7","6.712","6","7.1","5","8","9.5","14.5","23.4","16.1",""
="1526","日馳","01/08","16.8","+0.2","+1.2","半年","1.333","0.8","1","1","0.8","1.8","4.4","2.2","0","0",""
="1536","和大","01/08","54.8","-1.1","-1.97","半年","2.068","3.5","3.75","3.5","2","1.1","1.365","1.6","1","0.8",""
="1587","吉茂","01/08","50.5","0","0","","0.655","1","0.443","0.1","0.502","1.5","1","1","0.502","0.5","0"
="1591","駿吉-KY","01/08","50.3","+0.3","+0.6","","0.3","0","0","1","0.5","0.5","0.5","0.5","0","0","0"
="1597","直得","01/08","72.5","-1.2","-1.63","半年","1.167","1","1","1","1","1.5","1.5","2","0.8","0.7",""
="1707","葡萄王","01/08","124.5","-0.5","-0.4","半年","6.148","6.4","6.676","6.5","6.5","6.4","6.1","6.9","6.9","6.9","2.2"
="1709","和益","01/08","16.9","0","0","半年","1.01","1.505","1.496","0.497","0.5","1.2","1.7","1.8","0.6","0.8","0"
="1730","花仙子","01/08","52.6","-0.2","-0.38","半年","2.736","2.176","2.268","3.5","3.76","3.86","3","3","2.8","3","0"
="1784","訊聯","01/08","107","+2","+1.9","半年","0.377","0","0","0.281","0","0.185","0.486","0.696","0.709","1.416","0"
="1806","冠軍","01/08","8.9","+0.14","+1.6","半年","0.222","0","0","0","0","0","1","0","0","1",""
="1906","寶隆","01/08","11.95","+0.05","+0.42","半年","0.525","1.5","1","0.5","0.5","0.4","0.6","0.5","0.15","0.1","0"
="1909","榮成","01/08","9.76","0","0","半年","0.609","1.489","1.75","0.5","0.3","0.6","1.2","0.25","0","0","0"
="2012","春雨","01/08","17.05","-0.15","-0.87","半年","0.951","0.75","0.75","1.3","1.2","1.1","1.5","1","0.91","1","0"
="2066","世德","01/08","48.25","-0.25","-0.52","半年","2.824","5","3.02","3","2.322","1.7","2","4.419","3.778","3","0"
="2070","精湛","01/08","43.1","-1.1","-2.49","半年","1.5","1","2","2","1","1","1.5","1.5","2.5","1",""
="2101","南港","01/08","37.2","-0.25","-0.67","半年","0.528","1.143","0.707","0.7","1.1","0.6","0","0","0","0.5",""
="2102","泰豐","01/08","19.75","+0.45","+2.33","半年","0.013","0.1","0","0","0","0.02","0","0","0","0",""
="2109","華豐","01/08","14.95","0","0","半年","0.589","0.2","0","0","0","0.5","1","0.8","1.5","1.3",""
="2206","三陽工業","01/08","60.2","+0.1","+0.17","半年","1.45","1.034","1.018","1","1.01","1.309","1.3","1.8","3","3.028","0"
="2236","百達-KY","01/08","113","-3.5","-3","半年","0.882","1.963","0.763","0.102","0.061","1.866","3.18","0.092","0.486","0.31","0"
="2247","汎德永業","01/08","274.5","-0.5","-0.18","半年","11.66","","8","7.5","8.438","11","12","15","18","18.5","6.5"
="2254","巨鎧精密-創","01/08","59.7","+0.1","+0.17","半年","0.363","","","","","","1.11","0.34","0","0",""
="2327","國巨*","01/08","237.5","-15.5","-6.13","","14.59","3","14.86","44.83","13.06","10.08","10.1","9.994","19.97","20","0"
="2331","精英","01/08","23.3","-0.55","-2.31","半年","0.446","0","1","0","0","1.001","0","0.8","1","0.21",""
="2342","茂矽","01/08","33.7","-2.45","-6.78","半年","0.357","0","0","0.27","0","0.5","0.5","2","0","0.3","0"
="2344","華邦電","01/08","108.5","+2","+1.88","半年","0.49","0.6","1","1","0.1","0.2","1","1","0","0","0"
="2359","所羅門","01/08","132","-1.5","-1.12","半年","0.95","1","1","1.1","0.8","0.5","0.9","1.5","1.7","1","0"
