"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="0051","元大中型100","01/09","95.2","-0.25","-0.26","年","0","0","0","0","0","0","0","0","0","0",""
="0052","富邦科技","01/09","40.66","-0.18","-0.44","年","0","0","0","0","0","0","0","0","0","0",""
="0053","元大電子","01/09","150.5","+0.5","+0.33","年","0","0","0","0","0","0","0","0","0","0",""
="0055","元大MSCI金融","01/09","31.94","-0.05","-0.16","年","0","0","0","0","0","0","0","0","0","0",""
="0057","富邦摩台","01/09","203.3","-1.1","-0.54","年","0","0","0","0","0","0","0","0","0","0",""
="006201","元大富櫃50","01/09","26.02","-0.28","-1.06","年","0","0","0","0","0","0","0","0","0","0",""
="006204","永豐臺灣加權","01/09","154.5","-0.45","-0.29","年","0","0","0","0","0","0","0","0","0","0",""
="00646","元大S&P500","01/09","68.65","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="00660","元大歐洲50","01/09","42.97","-0.03","-0.07","年","0","0","0","0","0","0","0","0","0","0",""
="00661","元大日經225","01/09","66.75","+0.65","+0.98","年","0","0","0","0","0","0","0","0","0","0",""
="00739","元大MSCI A股","01/09","27.44","+0.08","+0.29","年","0","","","0","0","0","0","0","0","0",""
="00770","國泰北美科技","01/09","58.35","-0.4","-0.68","年","0","","","","0","0","0","0","0","0","0"
="00830","國泰費城半導體","01/09","61","-0.75","-1.21","年","0","","","","0","0","0","0","0","0","0"
="00851","台新全球AI","01/09","57.4","-0.9","-1.54","年","0","","","","0","0","0","0","0","0",""
="00901","永豐智能車供應鏈","01/09","26.2","-0.07","-0.27","年","0","","","","","","0","0","0","0",""
="00903","富邦元宇宙","01/09","17.87","0","0","年","0","","","","","","","0","0","0",""
="00909","國泰數位支付服務","01/09","41.9","+0.48","+1.16","年","0","","","","","","","0","0","0",""
="00916","國泰全球品牌50","01/09","27.49","+0.16","+0.59","年","0","","","","","","","0","0","0",""
="00917","中信特選金融","01/09","27.71","+0.5","+1.84","年","0","","","","","","","0","0","0","0"
="00920","富邦ESG綠色電力","01/09","18.6","-0.03","-0.16","年","0","","","","","","","0","0","0",""
="00926","凱基全球菁英55","01/09","23.56","-0.05","-0.21","年","0","","","","","","","0","0","0",""
="00949","復華日本龍頭","01/09","18.74","+0.13","+0.7","年","0","","","","","","","","","0",""
