"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="0056","元大高股息","01/08","37.41","-0.21","-0.56","季","0","0","0","0","0","0","0","0","0","0","0"
"00679B","元大美債20年","01/08","27.42","+0.27","+0.99","季","0","0","0","0","0","0","0","0","0","0",""
"00687B","國泰20年美債","01/08","28.49","+0.28","+0.99","季","0","0","0","0","0","0","0","0","0","0",""
="00690","兆豐藍籌30","01/08","46.67","-0.13","-0.28","季","0","0","0","0","0","0","0","0","0","0",""
"00694B","富邦美債1-3","01/08","41.99","+0.2","+0.48","季","0","","0","0","0","0","0","0","0","0","0"
"00695B","富邦美債7-10","01/08","36","+0.21","+0.59","季","0","","0","0","0","0","0","0","0","0","0"
"00696B","富邦美債20年","01/08","29.83","+0.28","+0.95","季","0","","0","0","0","0","0","0","0","0","0"
"00697B","元大美債7-10","01/08","36.32","+0.21","+0.58","季","0","","0","0","0","0","0","0","0","0",""
"00710B","復華彭博非投等債","01/08","19.09","+0.07","+0.37","季","0","0","0","0","0","0","0","0","0","0",""
"00711B","復華彭博新興債","01/08","16.35","+0.04","+0.25","季","0","0","0","0","0","0","0","0","0","0",""
="00712","復華富時不動產","01/08","9.26","-0.02","-0.22","季","0","0","0","0","0","0","0","0","0","0",""
="00713","元大台灣高息低波","01/08","50.85","0","0","季","0","","0","0","0","0","0","0","0","0",""
="00714","群益道瓊美國地產","01/08","20","-0.15","-0.74","季","0","","0","0","0","0","0","0","0","0","0"
="00717","富邦美國特別股","01/08","15.34","+0.06","+0.39","季","0","","0","0","0","0","0","0","0","0","0"
"00719B","元大美債1-3","01/08","31.4","+0.15","+0.48","季","0","","","0","0","0","0","0","0","0","0"
"00720B","元大投資級公司債","01/08","33.89","+0.23","+0.68","季","0","","0","0","0","0","0","0","0","0","0"
"00722B","群益投資級電信債","01/08","37.13","+0.24","+0.65","季","0","","0","0","0","0","0","0","0","0","0"
"00723B","群益投資級科技債","01/08","31.85","+0.21","+0.66","季","0","","0","0","0","0","0","0","0","0","0"
"00724B","群益投資級金融債","01/08","35.04","+0.22","+0.63","季","0","","0","0","0","0","0","0","0","0","0"
"00725B","國泰投資級公司債","01/08","35.96","+0.23","+0.64","季","0","","0","0","0","0","0","0","0","0","0"
"00726B","國泰新興投等債","01/08","33.86","+0.1","+0.3","季","0","","0","0","0","0","0","0","0","0",""
"00727B","國泰優選非投等債","01/08","40.56","+0.22","+0.55","季","0","","0","0","0","0","0","0","0","0","0"
="00728","第一金工業30","01/08","38.85","-0.1","-0.26","季","0","","","0","0","0","0","0","0","0",""
="00731","復華富時高息低波","01/08","69.75","-0.25","-0.36","季","0","","0","0","0","0","0","0","0","0",""
"00734B","台新JPM新興債","01/08","15.91","+0.01","+0.06","季","0","","0","0","0","0","0","0","0","0","0"
"00746B","富邦A級公司債","01/08","36.59","+0.23","+0.63","季","0","","","0","0","0","0","0","0","0","0"
"00749B","凱基新興債10+","01/08","32.34","+0.1","+0.31","季","0","","","0","0","0","0","0","0","0","0"
"00750B","凱基科技債10+","01/08","34.09","+0.27","+0.8","季","0","","","0","0","0","0","0","0","0","0"
"00751B","元大AAA至A公司債","01/08","32.34","+0.22","+0.68","季","0","","","0","0","0","0","0","0","0",""
"00754B","群益AAA-AA公司債","01/08","34.54","+0.23","+0.67","季","0","","","0","0","0","0","0","0","0",""
"00755B","群益投資級公用債","01/08","33.5","+0.23","+0.69","季","0","","","0","0","0","0","0","0","0",""
"00756B","群益投等新興公債","01/08","32.08","+0.07","+0.22","季","0","","","0","0","0","0","0","0","0",""
"00758B","復華能源債","01/08","51.85","+0.25","+0.48","季","0","","","0","0","0","0","0","0","0",""
"00759B","復華製藥債","01/08","55.7","+0.55","+1","季","0","","","0","0","0","0","0","0","0",""
"00760B","復華新興企業債","01/08","55.5","+0.05","+0.09","季","0","","","0","0","0","0","0","0","0",""
"00761B","國泰A級公司債","01/08","35.35","+0.24","+0.68","季","0","","","0","0","0","0","0","0","0",""
"00764B","群益25年美債","01/08","28.49","+0.29","+1.03","季","0","","","0","0","0","0","0","0","0",""
"00768B","復華20年美債","01/08","52.05","+0.45","+0.87","季","0","","","","0","0","0","0","0","0",""
="00771","元大US高息特別股","01/08","16.23","+0.06","+0.37","季","0","","","0","0","0","0","0","0","0",""
"00775B","新光投等債15+","01/08","32.88","+0.27","+0.83","季","0","","","0","0","0","0","0","0","0",""
"00779B","凱基美債25+","01/08","28.84","+0.28","+0.98","季","0","","","0","0","0","0","0","0","0",""
"00780B","國泰A級金融債","01/08","38.31","+0.19","+0.5","季","0","","","0","0","0","0","0","0","0",""
"00781B","國泰A級科技債","01/08","29.48","+0.16","+0.55","季","0","","","0","0","0","0","0","0","0",""
"00782B","國泰A級公用債","01/08","31.59","+0.21","+0.67","季","0","","","0","0","0","0","0","0","0","0"
"00785B","富邦金融投等債","01/08","36.18","+0.21","+0.58","季","0","","","0","0","0","0","0","0","0","0"
"00786B","元大10年IG銀行債","01/08","33.68","+0.25","+0.75","季","0","","","0","0","0","0","0","0","0",""
"00787B","元大10年IG醫療債","01/08","33.1","+0.27","+0.82","季","0","","","0","0","0","0","0","0","0",""
"00788B","元大10年IG電能債","01/08","30.7","+0.22","+0.72","季","0","","","0","0","0","0","0","0","0","0"
"00789B","復華公司債A3","01/08","49.75","+0.18","+0.36","季","0","","","0","0","0","0","0","0","0","0"
"00791B","復華信用債1-5","01/08","57.35","+0.15","+0.26","季","0","","","0","0","0","0","0","0","0","0"
"00792B","群益A級公司債","01/08","32.36","+0.19","+0.59","季","0","","","0","0","0","0","0","0","0",""
"00793B","群益AAA-A醫療債","01/08","31.45","+0.24","+0.77","季","0","","","0","0","0","0","0","0","0",""
