"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="0050","元大台灣50","01/08","70.1","+0.25","+0.36","半年","0","0","0","0","0","0","0","0","0","0","0"
="006203","元大MSCI台灣","01/08","126.6","+0.7","+0.56","半年","0","0","0","0","0","0","0","0","0","0","0"
="006208","富邦台50","01/08","159.55","+0.55","+0.35","半年","0","0","0","0","0","0","0","0","0","0",""
="00692","富邦公司治理","01/08","61.1","+0.3","+0.49","半年","0","0","0","0","0","0","0","0","0","0",""
="00701","國泰股利精選30","01/08","29.29","+0.01","+0.03","半年","0","","0","0","0","0","0","0","0","0","0"
="00702","國泰標普低波高息","01/08","23.3","-0.06","-0.26","半年","0","","0","0","0","0","0","0","0","0","0"
="00733","富邦臺灣中小","01/08","48.26","-0.3","-0.62","半年","0","","","0","0","0","0","0","0","0",""
="00735","國泰臺韓科技","01/08","58.25","+0.45","+0.78","半年","0","","","0","0","0","0","0","0","0","0"
="00736","國泰新興市場","01/08","28.87","-0.09","-0.31","半年","0","","","0","0","0","0","0","0","0","0"
="00858","永豐美國500大","01/08","34.31","+0.05","+0.15","半年","0","","","","0","0","0","0","0","0","0"
="00881","國泰台灣科技龍頭","01/08","34.45","-0.18","-0.52","半年","0","","","","","0","0","0","0","0","0"
="00882","中信中國高股息","01/08","15.42","-0.03","-0.19","半年","0","","","","","0","0","0","0","0","0"
="00892","富邦台灣半導體","01/08","23.1","-0.12","-0.52","半年","0","","","","","0","0","0","0","0",""
="00911","兆豐洲際半導體","01/08","35.62","-0.24","-0.67","半年","0","","","","","","","0","0","0","0"
="00913","兆豐台灣晶圓製造","01/08","26.84","-0.33","-1.21","半年","0","","","","","","","0","0","0",""
="00922","國泰台灣領袖50","01/08","27.25","-0.02","-0.07","半年","0","","","","","","","0","0","0",""
="00923","群益台ESG低碳50","01/08","27.3","-0.08","-0.29","半年","0","","","","","","","0","0","0",""
="00928","中信上櫃ESG30","01/08","20.08","-0.25","-1.23","半年","0","","","","","","","","0","0","0"
="00935","野村臺灣新科技50","01/08","31.91","-0.21","-0.65","半年","0","","","","","","","","0","0",""
="009804","聯邦台精彩50","01/08","15.27","-0.06","-0.39","半年","0","","","","","","","","","0",""
"01004T","土銀富邦R2","01/08","10.81","0","0","半年","0","0","0","0","0","0","0","0","0","0",""
"01007T","兆豐國泰R2","01/08","13.5","+0.12","+0.9","半年","0","0","0","0","0","0","0","0","0","0",""
"01009T","王道圓滿R1","01/08","6.77","+0.06","+0.89","半年","0","","","0","0","0","0","0","0","0",""
"01010T","京城樂富R1","01/08","10.03","0","0","半年","0","","","0","0","0","0","0","0","0",""
="1108","幸福","01/08","14.9","0","0","半年","0","0","0","0","0","0","0","0","0","0","0"
="1219","福壽","01/08","13.35","+0.05","+0.38","半年","0.078","0.1","0","0","0","0","0","0.3","0.3","0",""
="1315","達新","01/08","64.1","+0.2","+0.31","半年","0","0","0","0","0","0","0","0","0","0",""
="1316","上曜","01/08","14.85","+0.15","+1.02","半年","0","0","0","0","0","0","0","0","0","0","0"
="1470","大統新創","01/08","22.75","0","0","半年","0","0","0","0","0","0","0","0","0","0","0"
