"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="0051","元大中型100","01/08","95.45","-0.75","-0.78","年","1.807","0.85","1","1.2","1.1","1.75","2.4","2.5","2.46","3",""
="0052","富邦科技","01/08","40.84","+0.07","+0.17","年","3.443","1.41","1.72","1.047","1.927","1.032","10.19","4","6.43","3.23",""
="0053","元大電子","01/08","150","-0.85","-0.56","年","1.707","1.15","1.1","1.5","1.3","1.7","1.71","1.9","2","3",""
="0055","元大MSCI金融","01/08","31.99","+0.14","+0.44","年","0.794","0.5","0.65","0.7","0.65","0.75","0.87","0.6","1.18","1.25",""
="0057","富邦摩台","01/08","204.4","+0.65","+0.32","年","0","0","0","0","0","0","0","0","0","0",""
="006201","元大富櫃50","01/08","26.3","-0.17","-0.64","年","0.541","0.35","0.3","0.45","0.38","0.6","0.62","0.65","0.75","0.77",""
="006204","永豐臺灣加權","01/08","154.95","+0.3","+0.19","年","2.424","1.7","1.94","1.52","0.76","5.3","2.677","3.959","0.7","3.259",""
="00646","元大S&P500","01/08","68.65","-0.05","-0.07","年","0","0","0","0","0","0","0","0","0","0",""
="00660","元大歐洲50","01/08","43","+0.11","+0.26","年","0.123","0","0","0.75","0.36","0","0","0","0","0",""
="00661","元大日經225","01/08","66.1","-0.75","-1.12","年","0","0","0","0","0","0","0","0","0","0",""
="00739","元大MSCI A股","01/08","27.36","-0.09","-0.33","年","0.299","","","0","0.5","0","0.19","0","0.5","0.9",""
="00770","國泰北美科技","01/08","58.75","+0.1","+0.17","年","2.584","","","","0.76","0.38","1.95","2.8","4","4","4.2"
="00830","國泰費城半導體","01/08","61.75","-0.4","-0.64","年","2.53","","","","0","0.32","2.8","0.12","1.51","3.96","9"
="00851","台新全球AI","01/08","58.3","+0.75","+1.3","年","0.385","","","","0.28","0.33","0","0","0","1.7",""
="00901","永豐智能車供應鏈","01/08","26.27","-0.22","-0.83","年","1.168","","","","","","0.543","0.628","0.9","2.6",""
="00903","富邦元宇宙","01/08","17.87","-0.02","-0.11","年","0","","","","","","","0","0","0",""
="00909","國泰數位支付服務","01/08","41.42","-0.58","-1.38","年","0.678","","","","","","","0.225","1.81","0",""
="00916","國泰全球品牌50","01/08","27.33","-0.02","-0.07","年","0.213","","","","","","","0.17","0.22","0.25",""
="00917","中信特選金融","01/08","27.21","+0.23","+0.85","年","1.448","","","","","","","0","0.29","2","3.5"
="00920","富邦ESG綠色電力","01/08","18.63","-0.25","-1.32","年","0.082","","","","","","","0","0.04","0.206",""
="00926","凱基全球菁英55","01/08","23.61","+0.09","+0.38","年","1.067","","","","","","","0.23","1.5","1.47",""
="00949","復華日本龍頭","01/08","18.61","-0.05","-0.27","年","0","","","","","","","","","0",""
="00951","台新日本半導體","01/08","12.05","-0.13","-1.07","年","0.16","","","","","","","","","0.16",""
="00954","中信日本半導體","01/08","12.91","-0.14","-1.07","年","0","","","","","","","","","0",""
="00955","中信日本商社","01/08","13.66","+0.06","+0.44","年","0","","","","","","","","","0",""
="00965","元大航太防衛科技","01/08","24.67","+0.55","+2.28","年","0","","","","","","","","","0",""
"00969B","元大零息超長美債","01/08","8.49","+0.09","+1.07","年","0","","","","","","","","","0",""
="00971","野村美國研發龍頭","01/08","16.25","+0.17","+1.06","年","1","","","","","","","","","1",""
"01001T","土銀富邦R1","01/08","11.67","+0.02","+0.17","年","0.407","0.408","0.406","0.398","0.367","0.389","0.481","0.4","0.409","0.406",""
"01002T","土銀國泰R1","01/08","14.45","0","0","年","0.406","0.447","0.438","0.421","0.404","0.338","0.37","0.398","0.395","0.443",""
="020035","元大上櫃ESG高息N","01/08","9.69","-0.12","-1.22","年","0.313","","","","","","","0.321","0.285","0.333",""
="020036","元大金融配息N","01/08","7.53","0","0","年","0.237","","","","","","","0.141","0.242","0.328",""
="020038","元大ESG配息N","01/08","7.63","-0.09","-1.17","年","0.345","","","","","","","0.179","0.334","0.523",""
="1101","台泥","01/08","23.45","-0.2","-0.85","年","1.736","1.45","1.5","3.305","2.501","3.368","0.999","0.5","1","1",""
"1101B","台泥乙特","01/08","45.35","0","0","年","1.554","","","0.091","1.75","1.75","1.75","1.75","1.764","2.026",""
="1103","嘉泥","01/08","13.8","0","0","年","0.678","0.2","0.5","1","1.002","1.396","0.65","0.3","0.5","0.551",""
="1104","環泥","01/08","29.65","-0.25","-0.84","年","1.267","1.2","1.1","1","1","1.1","1","1.5","1.8","1.7",""
="1109","信大","01/08","15.4","-0.05","-0.32","年","0.889","0.1","0.1","0.8","1.1","1.5","1.504","0.8","1.2","0.9",""
="1110","東泥","01/08","16.3","0","0","年","0.144","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.3",""
="1201","味全","01/08","14.6","+0.3","+2.1","年","0.463","0","0","0.8","1.334","0.53","0.501","0.238","0.266","0.5",""
="1203","味王","01/08","39.7","0","0","年","1.1","1","1.3","1","1","1.1","1.1","1.1","1.1","1.2",""
="1210","大成","01/08","51.3","-0.1","-0.19","年","1.995","1.5","2","1.5","2.2","2.7","1.5","1.5","2.222","2.828",""
="1213","大飲","01/08","10","-0.15","-1.48","年","0.039","0","0","0","0","0","0","0","0","0.35",""
="1215","卜蜂","01/08","136.5","-1","-0.73","年","3.778","3","3","3","4","4.5","3","3.5","5.5","4.5",""
="1216","統一","01/08","75.6","+0.3","+0.4","年","3.017","2.1","5.5","2.5","2.5","2.7","2.7","3.15","3","3",""
="1217","愛之味","01/08","10.45","+0.05","+0.48","年","0.144","0","0","0","0","0","0.3","0.4","0.23","0.37",""
="1220","台榮","01/08","12.55","0","0","年","0.601","0.65","0.4","0.46","0.6","1","1","0.2","0.4","0.7",""
="1225","福懋油","01/08","28.3","+0.25","+0.89","年","1.221","1.25","1.25","1.15","1.3","1.4","1.6","1.5","1.4","0.14",""
="1227","佳格","01/08","29.65","-0.15","-0.5","年","1.899","1.6","2","2.5","2.65","2.5","1.9","1.29","1.25","1.4",""
="1231","聯華食","01/08","94.6","+0.6","+0.64","年","1.606","1.75","1.4","1.8","1.6","1.6","1.5","1.6","1.6","1.6",""
="1232","大統益","01/08","144.5","0","0","年","5.733","5","5","5","5","6","6","6","6.6","7",""
="1233","天仁","01/08","31.95","-0.1","-0.31","年","1.294","1.6","2.25","1.9","1.6","0.8","0.8","0.85","0.9","0.95",""
="1234","黑松","01/08","37.45","-0.05","-0.13","年","1.767","2","1.5","1.6","1.7","1.8","1.7","1.8","1.9","1.9",""
="1235","興泰","01/08","45.7","+0.5","+1.11","年","0.561","0","0","0","0.55","1.5","1","1","0.5","0.5",""
="1236","宏亞","01/08","25.3","-0.15","-0.59","年","0.45","0.3","0.1","0.4","0.3","0.2","0.5","1","0.65","0.6",""
="1240","茂生農經","01/08","59.6","-0.1","-0.17","年","2.044","2.5","2.5","1.5","2","2","2","1","2.2","2.7",""
="1256","鮮活果汁-KY","01/08","152","0","0","年","7.156","4.2","5","6.2","6.2","12","13","6.5","6.6","4.7",""
="1259","安心","01/08","61.5","0","0","年","2.621","3","3.5","3","3.2","2.989","2.3","2.6","1.8","1.2",""
="1264","德麥","01/08","278.5","0","0","年","11.89","10","10.5","11","11","12","12","12","14","14.5",""
="1268","漢來美食","01/08","158.5","0","0","年","5.969","5.679","6.575","6.965","7","7","3","3","7","7.5",""
="1294","漢田生技","01/08","77","-0.1","-0.13","年","1.226","","","","","1","0","1","1","3.13",""
="1295","生合","01/08","84.2","+0.7","+0.84","年","2.458","","","","","","2.83","2","1.5","3.5",""
="1301","台塑","01/08","41.7","+1.05","+2.58","年","4.089","4.6","5.7","5.8","4.4","2.4","8.2","4.2","1","0.5",""
="1303","南亞","01/08","67","+2.3","+3.55","年","3.456","4.5","5.1","5","2.2","2.4","7.5","3","0.7","0.7",""
="1304","台聚","01/08","11.25","+0.05","+0.45","年","0.672","0.5","0.3","0.3","0.5","1","2.2","0.7","0.35","0.2",""
="1305","華夏","01/08","11.35","0","0","年","1.144","1.7","1.5","1.5","0.5","1.8","2.5","0.3","0.35","0.15",""
="1307","三芳","01/08","31.8","-0.35","-1.09","年","1.244","2.2","1.7","0.5","0.8","0.5","0.5","0.8","1.5","2.7",""
="1308","亞聚","01/08","13.35","-0.2","-1.48","年","0.867","0.6","0.2","0.3","0.6","1.2","3","1.2","0.45","0.25",""
="1309","台達化","01/08","11.35","-0.15","-1.3","年","0.611","0","0","0.2","0.3","2","2","0.5","0.3","0.2",""
="1310","台苯","01/08","8.83","-0.1","-1.12","年","0.85","2.2","1.6","2","1","0.5","0.15","0.2","0","0",""
="1312","國喬","01/08","11.95","0","0","年","0.511","1","1","0","0","0.1","2","0.5","0","0",""
"1312A","國喬特","01/08","23","+1","+4.55","年","0.978","1.6","1.6","0.6","0.6","0.7","2.6","1.1","0","0",""
="1313","聯成","01/08","10.2","-0.1","-0.97","年","0.505","0.6","1","0.198","0.2","1","1","0.2","0.2","0.15",""
="1314","中石化","01/08","8.02","-0.03","-0.37","年","0.133","0","0","0.5","0.3","0","0.4","0","0","0",""
="1319","東陽","01/08","95.2","+0.3","+0.32","年","2.347","2.12","2.05","1.7","1.8","0.8","0.85","2.5","4","5.3",""
="1321","大洋","01/08","35","0","0","年","0.276","0","0","0","0","1","0.7","0","0.4","0.38",""
="1323","永裕","01/08","19.5","+0.05","+0.26","年","1.411","1.8","1.3","1.8","1.6","1.6","1.6","1.1","1","0.9",""
