"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="0056","元大高股息","01/08","37.41","-0.21","-0.56","季","2.027","0.95","1.45","1.8","1.6","1.8","2.1","2.2","3.63","3.872","0.866"
"00679B","元大美債20年","01/08","27.42","+0.27","+0.99","季","1.022","0.74","0.975","1.05","0.76","0.87","1.12","1.17","1.33","1.18",""
"00687B","國泰20年美債","01/08","28.49","+0.28","+0.99","季","1.022","0.4","0.92","0.81","0.79","0.89","1.13","1.54","1.48","1.24",""
="00690","兆豐藍籌30","01/08","46.67","-0.13","-0.28","季","1.697","0.81","0.66","1.12","0.84","0.84","2.4","2.5","3.45","2.65",""
"00694B","富邦美債1-3","01/08","41.99","+0.2","+0.48","季","0.692","","0.627","0.768","0.841","0.426","0.553","0.77","0.877","1.11","0.256"
"00695B","富邦美債7-10","01/08","36","+0.21","+0.59","季","0.87","","0.522","3.048","0.685","0.486","0.332","0.542","0.868","1.087","0.262"
"00696B","富邦美債20年","01/08","29.83","+0.28","+0.95","季","0.969","","0.745","1.397","1.179","1.02","0.978","0.963","1.021","1.144","0.273"
"00697B","元大美債7-10","01/08","36.32","+0.21","+0.58","季","0.889","","0.25","1.275","0.42","0.58","1.01","1.32","1.08","1.18",""
"00710B","復華彭博非投等債","01/08","19.09","+0.07","+0.37","季","0.934","0.103","0.965","1.058","1.021","0.96","1","1.04","0.99","1.27",""
"00711B","復華彭博新興債","01/08","16.35","+0.04","+0.25","季","0.727","0.084","0.945","0.852","0.91","0.72","0.73","0.76","0.78","0.76",""
="00712","復華富時不動產","01/08","9.26","-0.02","-0.22","季","0.902","0.15","1.873","0.941","1.062","0.766","0.844","0.9","0.785","0.793",""
="00713","元大台灣高息低波","01/08","50.85","0","0","季","2.91","","1.55","1.6","1.7","3.15","2.9","3.04","5.28","4.06",""
="00714","群益道瓊美國地產","01/08","20","-0.15","-0.74","季","0.607","","0.639","0.555","0.582","0.999","1.095","0.482","0.492","0.492","0.123"
="00717","富邦美國特別股","01/08","15.34","+0.06","+0.39","季","0.631","","0.797","0.899","0.724","0.608","0.606","0.63","0.665","0.612","0.141"
"00719B","元大美債1-3","01/08","31.4","+0.15","+0.48","季","0.75","","","0.46","0.19","0.1","0.8","1.43","1.45","1.3","0.27"
"00720B","元大投資級公司債","01/08","33.89","+0.23","+0.68","季","1.514","","0.52","1.49","1.8","1.65","1.84","1.96","2.02","1.91","0.44"
"00722B","群益投資級電信債","01/08","37.13","+0.24","+0.65","季","1.608","","1.161","1.711","1.775","1.604","1.713","1.963","1.937","2.081","0.525"
"00723B","群益投資級科技債","01/08","31.85","+0.21","+0.66","季","1.31","","0.703","1.515","1.409","1.315","1.394","1.58","1.691","1.736","0.445"
"00724B","群益投資級金融債","01/08","35.04","+0.22","+0.63","季","1.448","","0.797","1.627","1.61","1.5","1.565","1.744","1.809","1.9","0.483"
"00725B","國泰投資級公司債","01/08","35.96","+0.23","+0.64","季","1.596","","0.74","1.39","1.77","1.58","1.67","1.75","2.573","2.398","0.49"
